pair_index,puzzle,status,dpll_calls,num_vars,num_clauses,time_sec
1,A,SAT,1358,729,12850,3.747409
1,B,SAT,5123,729,12848,9.519603
2,A,SAT,857,729,12850,2.276342
2,B,SAT,9865,729,12850,20.313400
3,A,SAT,349,729,12850,0.882953
3,B,SAT,1184,729,12848,2.654669
4,A,SAT,3561,729,12850,6.929124
4,B,SAT,5,729,12853,0.284886
5,A,SAT,2005,729,12850,5.257879
5,B,SAT,246,729,12851,0.856199
6,A,SAT,9187,729,12850,19.636061
6,B,SAT,16131,729,12849,33.381533
7,A,SAT,3,729,12850,0.279380
7,B,SAT,378,729,12850,0.952141
8,A,SAT,768,729,12850,1.736739
8,B,SAT,1,729,12853,0.319744
9,A,SAT,4,729,12850,0.291005
9,B,SAT,467,729,12847,1.253177
10,A,SAT,151,729,12850,0.474761
10,B,SAT,5777,729,12848,10.104744
11,A,SAT,1351,729,12850,2.440735
11,B,SAT,1165,729,12850,3.240822
12,A,SAT,623,729,12850,1.263618
12,B,SAT,12,729,12852,0.288076
13,A,SAT,686,729,12850,1.782366
13,B,SAT,19154,729,12848,40.727086
14,A,SAT,1347,729,12850,2.165853
14,B,SAT,1,729,12854,0.294081
15,A,SAT,593,729,12850,1.444734
15,B,SAT,2,729,12850,0.284010
16,A,SAT,581,729,12850,1.296342
16,B,SAT,88,729,12849,0.359869
17,A,SAT,1,729,12850,0.284878
17,B,SAT,342,729,12848,0.842218
18,A,SAT,123,729,12850,0.439177
18,B,SAT,615,729,12850,1.571371
19,A,SAT,150,729,12850,0.501170
19,B,SAT,3538,729,12849,6.775499
20,A,SAT,966,729,12850,2.209244
20,B,SAT,369,729,12850,0.938572
